Drop Off Location,Stake,# of Adult Volunteers in this route,# of Youth Volunteers in this route,# of Donation Bags Collected/Route,Time to Complete (in minutes) pick up of bags /route,Number of routes completed,# of Doors in Route
Londonderry Chapel,Bonnie Doon Stake,1,3,14,25,1,14
Gateway Stake Centre,Gateway Stake,3,1,18,25,2,144
Gateway Stake Centre,Gateway Stake,2,0,20,30,1,186
Gateway Stake Centre,Gateway Stake,2,1,20,25,1,180
Londonderry Chapel,Bonnie Doon Stake,1,0,2,5,1,1
Bearspaw Chapel,Gateway Stake,2,0,20,20,1,179
Gateway Stake Centre,Gateway Stake,1,4,17,25,1,141
Londonderry Chapel,Bonnie Doon Stake,2,0,32,45,1,27
Londonderry Chapel,Bonnie Doon Stake,2,0,100,5,2,200
Bearspaw Chapel,Bonnie Doon Stake,2,3,15,45,1,13
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,30,30,1,300
Londonderry Chapel,Bonnie Doon Stake,1,0,17,60,1,110
Londonderry Chapel,Bonnie Doon Stake,3,2,20,40,1,107
Coronation Park Chapel,Bonnie Doon Stake,2,1,25,55,1,20
Londonderry Chapel,Bonnie Doon Stake,2,3,24,45,3,250
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,5,10,60,1,184
Londonderry Chapel,Bonnie Doon Stake,2,2,12,30,1,12
Londonderry Chapel,Bonnie Doon Stake,2,0,30,45,2,180
Londonderry Chapel,Bonnie Doon Stake,2,0,16,25,1,98
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,10,20,2,120
Coronation Park Chapel,Bonnie Doon Stake,2,0,20,60,1,96
Gateway Stake Centre,Gateway Stake,5,0,29,30,1,19
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,40,30,1,200
Coronation Park Chapel,Bonnie Doon Stake,2,0,18,63,1,140
Gateway Stake Centre,Gateway Stake,2,3,21,30,1,1
Bearspaw Chapel,Gateway Stake,5,3,24,40,1,157
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,40,180,2,375
Gateway Stake Centre,Gateway Stake,3,0,35,30,1,250
Gateway Stake Centre,Gateway Stake,2,0,15,25,1,116
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,30,30,1,115
