Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,The time you started at:,The time you ended at,WARD,Time Spent
Londonderry Chapel,Bonnie Doon Stake,1,3,14,25,0,1,14,2023-12-13 10:00:00,2023-12-13 10:25:00,Clareview Ward,25.0
Gateway Stake Centre,Gateway Stake,3,1,18,25,1,2,144,2023-12-13 10:00:00,2023-12-13 10:30:00,Crawford Plains Ward,30.0
Gateway Stake Centre,Gateway Stake,2,0,20,30,0,1,186,2023-12-13 10:00:00,2023-12-13 10:30:00,Silver Berry Ward,30.0
Gateway Stake Centre,Gateway Stake,2,0,20,25,1,1,0,2023-12-13 10:00:00,2023-12-13 10:30:00,Crawford Plains Ward,30.0
Londonderry Chapel,Bonnie Doon Stake,1,0,2,5,0,1,0,,,Londonderry Ward,54.70873786407767
Bearspaw Chapel,Gateway Stake,2,0,20,20,0,1,179,2023-12-13 10:20:00,2023-12-13 10:40:00,Blackmud Creek Ward,20.0
Gateway Stake Centre,Gateway Stake,1,4,17,25,0,1,141,2023-12-13 10:26:00,2023-12-13 10:48:00,Lee Ridge Ward,22.0
Londonderry Chapel,Bonnie Doon Stake,2,0,32,45,0,1,27,,,Londonderry Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,2,0,100,5,1,2,200,2023-12-13 10:00:00,2023-12-13 10:49:00,Londonderry Ward,49.0
Bearspaw Chapel,Bonnie Doon Stake,2,3,15,45,0,1,13,2023-12-13 10:10:00,2023-12-13 10:45:00,Southgate Ward,35.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,30,30,0,1,300,2023-12-13 10:10:00,2023-12-13 10:40:00,Connors Hill Ward,30.0
Londonderry Chapel,Bonnie Doon Stake,1,0,17,60,0,1,110,2023-12-13 10:00:00,,Clareview Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,3,2,20,40,0,1,107,2023-12-13 10:05:00,2023-12-13 10:45:00,Londonderry Ward,40.0
Coronation Park Chapel,Bonnie Doon Stake,2,1,25,55,0,1,20,2023-12-13 10:00:00,2023-12-13 10:55:00,Coronation Park Ward,55.0
